i =    0, x = 12.38, y = 7.32, z = 7.58
i =  705, x = 6.23, y = 7.76, z = 15.53
i =  708, x = 6.23, y = 7.32, z = 15.53
i =  711, x = -12.40, y = 0.29, z = -16.40
i =  714, x = -12.40, y = 0.74, z = -15.53
i =  717, x = -12.40, y = 0.74, z = -16.40
i =  720, x = -4.31, y = 0.29, z = 5.86
i =  723, x = -4.31, y = 0.74, z = 12.01
i =  726, x = -4.31, y = 0.29, z = 12.01
i =  729, x = 11.51, y = 0.29, z = 4.98
i =  732, x = 11.53, y = 0.74, z = -15.52
i =  735, x = 11.53, y = 0.29, z = -15.52
i =  738, x = 0.96, y = 0.29, z = 15.53
i =  741, x = 3.60, y = 0.74, z = 15.53
i =  744, x = 3.60, y = 0.29, z = 15.53
i =  747, x = -11.22, y = 0.29, z = -15.53
i =  750, x = -11.23, y = 0.74, z = 4.98
i =  753, x = -11.23, y = 0.29, z = 4.98
i =  756, x = -5.19, y = 0.29, z = 4.98
i =  759, x = -4.31, y = 0.74, z = 4.98
i =  762, x = -4.31, y = 0.29, z = 4.98
i =  765, x = -4.31, y = 0.29, z = 12.01
i =  768, x = -4.31, y = 0.74, z = 14.65
i =  771, x = -4.31, y = 0.29, z = 14.65
i =  774, x = 8.87, y = 0.29, z = 15.53
i =  777, x = 11.51, y = 0.74, z = 15.53
i =  780, x = 11.51, y = 0.29, z = 15.53
i =  783, x = -1.17, y = 0.74, z = 15.53
i =  786, x = 0.96, y = 7.32, z = 15.53
i =  789, x = 0.96, y = 0.74, z = 15.53
i =  792, x = -4.31, y = 0.74, z = 5.86
i =  795, x = -4.31, y = 7.32, z = 12.01
i =  798, x = -4.31, y = 0.74, z = 12.01
i =  801, x = 12.39, y = 0.74, z = 4.94
i =  804, x = 12.38, y = 7.32, z = 5.89
i =  807, x = 12.38, y = 7.32, z = 4.94
i =  810, x = 8.87, y = 0.74, z = 15.53
i =  813, x = 11.51, y = 7.32, z = 15.53
i =  816, x = 11.51, y = 0.74, z = 15.53
i =  819, x = 0.96, y = 0.74, z = 15.53
i =  822, x = 3.60, y = 7.32, z = 15.53
i =  825, x = 3.60, y = 0.74, z = 15.53
i =  828, x = -11.23, y = 0.74, z = 4.98
i =  831, x = -11.22, y = 7.32, z = -15.53
i =  834, x = -11.22, y = 7.32, z = 4.98
i =  837, x = -4.31, y = 0.74, z = 12.01
i =  840, x = -4.31, y = 7.32, z = 14.65
i =  843, x = -4.31, y = 0.74, z = 14.65
i =  846, x = 11.51, y = 0.74, z = 5.86
i =  849, x = 11.51, y = 7.32, z = 7.65
i =  852, x = 11.51, y = 7.32, z = 5.86
i =  855, x = 6.23, y = 0.29, z = 15.53
i =  858, x = 8.87, y = 0.74, z = 15.53
i =  861, x = 8.87, y = 0.29, z = 15.53
i =  864, x = -1.17, y = 0.29, z = 15.53
i =  867, x = -1.17, y = 0.74, z = 15.53
i =  870, x = 0.96, y = 0.29, z = 15.53
i =  873, x = 12.39, y = 0.29, z = 14.65
i =  876, x = 11.51, y = 0.74, z = 14.65
i =  879, x = 12.40, y = 0.74, z = 14.66
i =  882, x = -4.31, y = 0.29, z = 14.65
i =  885, x = -4.31, y = 0.74, z = 15.53
i =  888, x = -4.31, y = 0.29, z = 15.53
i =  891, x = 3.60, y = 0.29, z = 15.53
i =  894, x = 6.23, y = 0.74, z = 15.53
i =  897, x = 6.23, y = 0.29, z = 15.53
i =  900, x = -5.19, y = 0.29, z = 4.98
i =  903, x = -11.23, y = 0.74, z = 4.98
i =  906, x = -5.19, y = 0.74, z = 4.98
i =  909, x = -4.31, y = 0.74, z = 4.98
i =  912, x = -4.31, y = 7.32, z = 4.98
i =  915, x = 0.42, y = 0.74, z = 4.98
i =  918, x = 11.51, y = 0.29, z = 5.86
i =  921, x = 11.51, y = 0.74, z = 5.01
i =  924, x = 11.51, y = 0.29, z = 4.98
i =  927, x = 11.51, y = 7.32, z = 14.65
i =  930, x = 11.51, y = 7.76, z = 15.53
i =  933, x = 11.51, y = 7.76, z = 14.65
i =  936, x = -4.31, y = 7.32, z = 4.98
i =  939, x = -4.31, y = 7.76, z = 5.86
i =  942, x = -4.31, y = 7.32, z = 5.86
i =  945, x = 11.53, y = 0.74, z = -15.52
i =  948, x = 11.51, y = 7.32, z = 4.98
i =  951, x = 11.51, y = 7.32, z = -15.53
i =  954, x = 11.51, y = 0.74, z = 14.65
i =  957, x = 12.38, y = 7.32, z = 14.65
i =  960, x = 12.40, y = 0.74, z = 14.66
i =  963, x = 6.23, y = 0.74, z = 15.53
i =  966, x = 8.87, y = 7.32, z = 15.53
i =  969, x = 8.87, y = 0.74, z = 15.53
i =  972, x = 11.51, y = 0.74, z = 14.65
i =  975, x = 11.51, y = 7.32, z = 15.53
i =  978, x = 11.51, y = 7.32, z = 14.65
i =  981, x = 3.60, y = 0.74, z = 15.53
i =  984, x = 6.23, y = 7.32, z = 15.53
i =  987, x = 6.23, y = 0.74, z = 15.53
i =  990, x = -4.31, y = 0.74, z = 14.65
i =  993, x = -4.31, y = 7.32, z = 15.53
i =  996, x = -4.31, y = 0.74, z = 15.53
i =  999, x = -4.31, y = 0.74, z = 15.53
i = 1002, x = -1.17, y = 7.32, z = 15.53
i = 1005, x = -1.17, y = 0.74, z = 15.53
i = 1008, x = 11.51, y = 0.74, z = 5.01
i = 1011, x = 11.51, y = 7.32, z = 5.86
i = 1014, x = 11.51, y = 7.32, z = 4.98
i = 1017, x = 0.42, y = 0.74, z = 4.98
i = 1020, x = 0.42, y = 7.32, z = 5.86
i = 1023, x = 0.42, y = 0.74, z = 5.86
i = 1026, x = 0.42, y = 7.32, z = 5.86
i = 1029, x = 0.42, y = 6.17, z = 4.98
i = 1032, x = 0.42, y = 7.32, z = 4.98
i = 1035, x = 3.49, y = 7.32, z = 4.99
i = 1038, x = 11.51, y = 7.32, z = 5.86
i = 1041, x = 11.51, y = 7.32, z = 4.98
i = 1044, x = 6.23, y = 7.32, z = 15.53
i = 1047, x = 8.87, y = 7.76, z = 15.53
i = 1050, x = 8.87, y = 7.32, z = 15.53
i = 1053, x = 12.38, y = 7.32, z = 4.94
i = 1056, x = 11.51, y = 7.76, z = 4.98
i = 1059, x = 12.38, y = 7.76, z = 4.94
i = 1062, x = 11.51, y = 7.32, z = 4.98
i = 1065, x = 11.51, y = 7.76, z = 5.86
i = 1068, x = 11.51, y = 7.76, z = 4.98
i = 1071, x = 11.51, y = 0.74, z = 7.65
i = 1074, x = 12.38, y = 7.32, z = 7.58
i = 1077, x = 11.51, y = 7.32, z = 7.65
i = 1080, x = 11.51, y = 7.32, z = 5.86
i = 1083, x = 12.38, y = 7.76, z = 5.89
i = 1086, x = 11.51, y = 7.76, z = 5.86
i = 1089, x = -4.31, y = 7.32, z = 14.65
i = 1092, x = -4.31, y = 7.76, z = 15.53
i = 1095, x = -4.31, y = 7.32, z = 15.53
i = 1098, x = -4.31, y = 7.32, z = 15.53
i = 1101, x = -1.17, y = 7.76, z = 15.53
i = 1104, x = -1.17, y = 7.32, z = 15.53
i = 1107, x = 8.87, y = 7.32, z = 15.53
i = 1110, x = 11.51, y = 7.76, z = 15.53
i = 1113, x = 11.51, y = 7.32, z = 15.53
i = 1116, x = -4.31, y = 0.74, z = 5.86
i = 1119, x = 0.42, y = 7.32, z = 5.86
i = 1122, x = -4.31, y = 7.32, z = 5.86
i = 1125, x = -4.31, y = 0.74, z = 5.86
i = 1128, x = 0.42, y = 0.74, z = 4.98
i = 1131, x = 0.42, y = 0.74, z = 5.86
i = 1134, x = -4.31, y = 7.32, z = 4.98
i = 1137, x = 0.42, y = 7.32, z = 5.86
i = 1140, x = 0.42, y = 7.32, z = 4.98
i = 1143, x = 3.49, y = 7.32, z = 4.99
i = 1146, x = 0.42, y = 7.32, z = 5.86
i = 1149, x = 3.48, y = 7.32, z = 5.87
i = 1152, x = 11.51, y = 7.32, z = 4.98
i = 1155, x = 3.49, y = 0.74, z = 4.99
i = 1158, x = 3.49, y = 7.32, z = 4.99
i = 1161, x = 0.42, y = 7.32, z = 5.86
i = 1164, x = 3.48, y = 6.17, z = 5.87
i = 1167, x = 3.48, y = 7.32, z = 5.87
i = 1170, x = 3.49, y = 7.32, z = 4.99
i = 1173, x = 0.42, y = 6.17, z = 4.98
i = 1176, x = 0.42, y = 7.32, z = 4.98
i = 1179, x = 3.49, y = 7.32, z = 4.99
i = 1182, x = 3.48, y = 6.17, z = 5.87
i = 1185, x = 3.48, y = 7.32, z = 5.87
i = 1188, x = -1.17, y = 0.74, z = 15.53
i = 1191, x = -1.17, y = 0.29, z = 15.53
i = 1194, x = -1.17, y = 0.29, z = 15.10
i = 1197, x = 3.48, y = 0.74, z = 5.87
i = 1200, x = 3.49, y = 7.32, z = 4.99
i = 1203, x = 3.49, y = 0.74, z = 4.99
i = 1206, x = 11.51, y = 7.32, z = 5.86
i = 1209, x = 3.48, y = 0.74, z = 5.87
i = 1212, x = 11.51, y = 0.74, z = 5.86
i = 1215, x = 11.51, y = 0.74, z = 5.86
i = 1218, x = -4.31, y = 0.74, z = 4.98
i = 1221, x = -4.31, y = 0.74, z = 5.86
i = 1224, x = -11.22, y = -1.47, z = -15.53
i = 1227, x = -12.40, y = -6.74, z = -15.53
i = 1230, x = -12.40, y = 0.28, z = -15.53
i = 1233, x = -1.15, y = -1.51, z = 5.86
i = 1236, x = -4.31, y = -6.74, z = 5.86
i = 1239, x = -1.15, y = -6.74, z = 5.86
i = 1242, x = 11.51, y = 0.74, z = 5.86
i = 1245, x = 3.49, y = 0.74, z = 4.99
i = 1248, x = 11.51, y = 0.74, z = 4.99
i = 1251, x = 11.51, y = 0.29, z = 12.78
i = 1254, x = 12.39, y = -1.31, z = 12.78
i = 1257, x = 11.51, y = -1.31, z = 12.78
i = 1260, x = 11.51, y = 0.74, z = 15.53
i = 1263, x = 11.51, y = -1.51, z = 14.65
i = 1266, x = 11.51, y = -1.51, z = 15.53
i = 1269, x = 11.51, y = 0.74, z = 14.65
i = 1272, x = 11.50, y = 0.29, z = 10.72
i = 1275, x = 11.50, y = 0.74, z = 10.72
i = 1278, x = -11.22, y = 0.74, z = -15.53
i = 1281, x = 11.51, y = 7.32, z = -15.53
i = 1284, x = -11.22, y = 7.32, z = -15.53
i = 1287, x = 4.92, y = -6.74, z = 4.98
i = 1290, x = 8.52, y = 0.29, z = 4.98
i = 1293, x = 8.52, y = -6.74, z = 4.98
i = 1296, x = 11.51, y = -6.74, z = 9.73
i = 1299, x = 11.51, y = -5.02, z = 7.79
i = 1302, x = 11.51, y = -6.74, z = 7.79
i = 1305, x = 8.52, y = -6.74, z = 4.98
i = 1308, x = 4.92, y = -6.74, z = 5.86
i = 1311, x = 8.52, y = -6.74, z = 5.86
i = 1314, x = 8.52, y = 0.29, z = 4.98
i = 1317, x = 11.51, y = -6.74, z = 4.98
i = 1320, x = 8.52, y = -6.74, z = 4.98
i = 1323, x = 4.92, y = -6.74, z = 5.86
i = 1326, x = 4.92, y = -1.31, z = 4.98
i = 1329, x = 4.92, y = -6.74, z = 4.98
i = 1332, x = 4.92, y = 0.29, z = 5.86
i = 1335, x = 8.52, y = -6.74, z = 5.86
i = 1338, x = 8.52, y = 0.29, z = 5.86
i = 1341, x = 11.51, y = -5.02, z = 9.73
i = 1344, x = 11.51, y = -1.51, z = 7.79
i = 1347, x = 11.51, y = -5.02, z = 7.79
i = 1350, x = 1.84, y = -6.74, z = 5.86
i = 1353, x = 1.84, y = 0.29, z = 4.98
i = 1356, x = 1.84, y = 0.29, z = 5.86
i = 1359, x = -1.15, y = 0.29, z = 4.98
i = 1362, x = 1.84, y = 0.29, z = 5.86
i = 1365, x = 1.84, y = 0.29, z = 4.98
i = 1368, x = 11.51, y = -1.31, z = 9.73
i = 1371, x = 11.51, y = 0.29, z = 7.65
i = 1374, x = 11.51, y = -1.51, z = 7.79
i = 1377, x = -1.15, y = -6.74, z = 5.86
i = 1380, x = 1.84, y = 0.29, z = 5.86
i = 1383, x = -1.15, y = 0.29, z = 5.86
i = 1386, x = -1.15, y = 0.29, z = 4.98
i = 1389, x = 1.84, y = -6.74, z = 4.98
i = 1392, x = -1.15, y = -6.74, z = 4.98
i = 1395, x = 11.51, y = -1.51, z = 6.76
i = 1398, x = 11.51, y = 0.29, z = 7.65
i = 1401, x = 11.51, y = 0.29, z = 6.69
i = 1404, x = 11.51, y = -5.02, z = 7.79
i = 1407, x = 11.51, y = -1.51, z = 6.76
i = 1410, x = 11.51, y = -5.02, z = 6.76
i = 1413, x = 11.51, y = -6.74, z = 7.79
i = 1416, x = 11.51, y = -5.02, z = 6.76
i = 1419, x = 11.51, y = -6.74, z = 6.76
i = 1422, x = 11.51, y = -6.74, z = 6.76
i = 1425, x = 11.51, y = -5.02, z = 5.86
i = 1428, x = 11.51, y = -6.74, z = 5.86
i = 1431, x = 11.51, y = -5.02, z = 6.76
i = 1434, x = 11.51, y = -1.51, z = 5.86
i = 1437, x = 11.51, y = -5.02, z = 5.86
i = 1440, x = 11.51, y = -1.51, z = 5.86
i = 1443, x = 11.51, y = 0.29, z = 6.69
i = 1446, x = 11.51, y = 0.29, z = 5.86
i = 1449, x = 11.51, y = -6.74, z = 5.86
i = 1452, x = 8.52, y = -6.74, z = 4.98
i = 1455, x = 11.51, y = -6.74, z = 4.98
i = 1458, x = 8.52, y = 0.29, z = 5.86
i = 1461, x = 4.92, y = 0.29, z = 4.98
i = 1464, x = 8.52, y = 0.29, z = 4.98
i = 1467, x = 11.51, y = 0.29, z = 6.69
i = 1470, x = 11.51, y = 0.74, z = 7.65
i = 1473, x = 11.51, y = 0.74, z = 6.69
i = 1476, x = 11.51, y = 0.29, z = 5.86
i = 1479, x = 11.51, y = 0.74, z = 6.69
i = 1482, x = 11.51, y = 0.74, z = 5.86
i = 1485, x = 4.92, y = 0.29, z = 4.98
i = 1488, x = 1.84, y = -1.31, z = 4.98
i = 1491, x = 1.84, y = 0.29, z = 4.98
i = 1494, x = 4.92, y = -1.31, z = 4.98
i = 1497, x = 1.84, y = -1.31, z = 5.86
i = 1500, x = 4.92, y = -1.31, z = 5.86
i = 1503, x = 1.84, y = 0.29, z = 5.86
i = 1506, x = 4.92, y = -1.31, z = 5.86
i = 1509, x = 4.92, y = 0.29, z = 5.86
i = 1512, x = 1.84, y = 0.29, z = 5.86
i = 1515, x = 1.84, y = -1.31, z = 4.98
i = 1518, x = 1.84, y = 0.29, z = 4.98
i = 1521, x = 4.92, y = 0.29, z = 4.98
i = 1524, x = 4.92, y = -1.31, z = 5.86
i = 1527, x = 4.92, y = 0.29, z = 5.86
i = 1530, x = 8.52, y = 0.29, z = 5.86
i = 1533, x = 8.52, y = -6.74, z = 5.86
i = 1536, x = 11.51, y = -1.51, z = 5.86
i = 1539, x = -1.15, y = 0.29, z = 4.98
i = 1542, x = -11.22, y = -6.74, z = 4.98
i = 1545, x = -11.23, y = 0.29, z = 4.98
i = 1548, x = 4.92, y = -6.74, z = 4.98
i = 1551, x = 1.84, y = -6.74, z = 5.86
